vorname,anzahl,geschlecht
Arnold,1,m
Bade,1,w
Arren,1,m
Bahar-Anna,1,w
Artur-Vanadis,1,m
Bayan,1,w
Arved,1,m
Bean,1,w
Arwed,1,m
Beatrix,1,w
Asaf,1,m
Belana,1,w
Asan,1,m
Beliz,1,w
Asmen,1,m
Bella,1,w
Asmo,1,m
Benigna,1,w
Atacan,1,m
Bernadette-Josephine,1,w
Atreju,1,m
Berra,1,w
Atuan,1,m
Beti,1,w
Aulon,1,m
Betty,1,w
Aurelius,1,m
Beverly,1,w
Avid,1,m
Beyza,1,w
Aydamatus,1,m
Bircan,1,w
Aydın,1,m
Blanca,1,w
Aydin,1,m
Blerta,1,w
Ayoub,1,m
Blue,1,w
Azaan,1,m
Bonny,1,w
Bachir,1,m
Bounty,1,w
Bahadir,1,m
Brenda,1,w
Bahoz,1,m
Brianna,1,w
Bakir,1,m
Bruni,1,w
Balian,1,m
Buğlem,1,w
Balthasar,1,m
Bärbel,1,w
Balázs,1,m
Băng,1,w
Bang,1,m
Canan,1,w
Baptiste,1,m
Carinthia,1,w
Baray,1,m
Carlijn,1,w
Baribal,1,m
Carlota,1,w
Barne,1,m
Carmen,1,w
Baschar,1,m
Caroline,1,w
Batu,1,m
Cassuli,1,w
Baturalp,1,m
Cassy,1,w
Bedirhan,1,m
Cat,1,w
Bejan,1,m
Cathrine,1,w
Bekir,1,m
Cato,1,w
Belindo,1,m
Cemre,1,w
Ben-Achim,1,m
Ceren,1,w
Benett,1,m
Ceylin,1,w
Benjy,1,m
Charlie,1,w
Bennet,1,m
Charlize,1,w
Bennett,1,m
Charlotta,1,w
Bennik,1,m
Cherry,1,w
Bennit,1,m
Cheyenne-Blue,1,w
Benot,1,m
Chintamani,1,w
Benoît,1,m
Chisaki,1,w
Bente,1,m
Christa,1,w
Bento,1,m
Christiana,1,w
Benu,1,m
Christiane,1,w
Ber,1,m
Christin,1,w
Bera,1,m
Cira,1,w
Beran,1,m
Clarissa,1,w
Berkay,1,m
Clea,1,w
Bertan,1,m
Clementine,1,w
Bertold,1,m
Cleo,1,w
Bethiou,1,m
Coco,1,w
Bille,1,m
Colette,1,w
Birk,1,m
Conny,1,w
Bobi,1,m
Constanze,1,w
Bodo,1,m
Cora,1,w
Boi,1,m
Cäcilia,1,w
Bolek,1,m
Cécile,1,w
Bomber,1,m
Dalia,1,w
Borislav,1,m
Daliborka,1,w
Bryan,1,m
Daliya,1,w
Bugra,1,m
Damla,1,w
Bui,1,m
Dan,1,w
Burt,1,m
Daniella,1,w
Bálint,1,m
Danielle,1,w
Cailan,1,m
Danijela,1,w
Cal-Byron,1,m
Danly,1,w
Caleb,1,m
Danáe,1,w
Calvin,1,m
Darina,1,w
Canahmet,1,m
Darja,1,w
Carlo,1,m
Darlien,1,w
Carsten,1,m
Davina,1,w
Casper,1,m
Debora,1,w
Cassius,1,m
Deliyha,1,w
Catharius,1,m
Denisa,1,w
Celal,1,m
Derin,1,w
Celil,1,m
Destiny,1,w
Cemil,1,m
Devi,1,w
Charles,1,m
Di,1,w
Charly,1,m
Diem,1,w
Chase,1,m
Diora,1,w
Cheon,1,m
Diệu,1,w
Chinedu,1,m
Do,1,w
Chris,1,m
Dominique,1,w
Chris-Taylor,1,m
Donjeta,1,w
Christophe,1,m
Dorchen,1,w
Cınar,1,m
Dorothea,1,w
Ciwan,1,m
Dorra,1,w
Claas,1,m
Dua,1,w
Cliff,1,m
Dung,1,w
Cody-Jaden,1,m
Duygu,1,w
Collin,1,m
Dô,1,w
Colt,1,m
Džemila,1,w
Conner,1,m
Dạ,1,w
Constantine,1,m
Edanur,1,w
Cornelis,1,m
Eden,1,w
Corvin,1,m
Edera,1,w
Cosmin,1,m
Edita,1,w
Crispin,1,m
Editha,1,w
Cristiano,1,m
Eilish,1,w
Cruz,1,m
Ekamjot,1,w
Cuno,1,m
Elaina,1,w
Daan,1,m
Elasu,1,w
Damon,1,m
Eleonore,1,w
Danijel,1,m
Elie,1,w
Danny,1,m
Elif-Meryem,1,w
Dante,1,m
Elif-Sude,1,w
Darian,1,m
Elifnur,1,w
Dario,1,m
Eline,1,w
Daris,1,m
Elinya,1,w
Darko,1,m
Elisa-Marie,1,w
Dave,1,m
Eliza,1,w
Davin-Leon,1,m
Elja,1,w
Davis,1,m
Ella-Pauline,1,w
Dawid,1,m
Elli,1,w
Dawud,1,m
Ellina,1,w
Dean,1,m
Elmas,1,w
Delian,1,m
Elmas-Nur,1,w
Demjén,1,m
Elmira,1,w
Deniz-Cem,1,m
Eloise,1,w
Denny,1,m
Elva,1,w
Devo,1,m
Elvin,1,w
Deyvit,1,m
Elyse,1,w
Dimitris,1,m
Elín,1,w
Dinesh,1,m
Emili,1,w
Dirk,1,m
Emiliana,1,w
Diyanov,1,m
Emilya,1,w
Djamel,1,m
Emmilia,1,w
Djwar,1,m
Emmy,1,w
Dmitri,1,m
Emy,1,w
Do,1,m
Engelmann,1,w
Domenic,1,m
Enie,1,w
Dominic,1,m
Enna,1,w
Don,1,m
Enne,1,w
Doruk,1,m
Erawia-Gabriela,1,w
Doãn,1,m
Eray,1,w
Doğan,1,m
Erna,1,w
Dusko,1,m
Erva,1,w
Dyango,1,m
Esi,1,w
Dzhaner,1,m
Esiye,1,w
Dzhengis,1,m
Eslem,1,w
Dzheylyanov,1,m
Esmeralda,1,w
Dưc,1,m
Eusebia,1,w
Ebubekir,1,m
Eva-Clarice,1,w
Eder,1,m
Eve,1,w
Eduardo,1,m
Evelina,1,w
Edvin,1,m
Evelyn,1,w
Edwin,1,m
Evelyne,1,w
Ege,1,m
Evengelina,1,w
Egemen,1,m
Evie,1,w
Ekin,1,m
Evin,1,w
Ektoras,1,m
Evodia,1,w
Elea,1,m
Ezgi,1,w
Elezuo,1,m
Fabel,1,w
Eli,1,m
Fadime,1,w
Elia,1,m
Fatbardha,1,w
Eliah,1,m
Fatimatüz,1,w
Eliano,1,m
Fatımatüzzehra,1,w
Eliyas,1,m
Fatme,1,w
Elvir,1,m
Fay,1,w
Elvis,1,m
Fee,1,w
Elyas,1,m
Felicia,1,w
Eláya,1,m
Felicitas,1,w
Eme,1,m
Felicé,1,w
Emilijan-Božidar,1,m
Felipa,1,w
Emillio,1,m
Felizitas,1,w
Emilov,1,m
Feodora,1,w
Emircan,1,m
Ferzi,1,w
Emrullah,1,m
Fia,1,w
Engelmann,1,m
Fidan,1,w
Enis,1,m
Fidelia,1,w
Erdoğan,1,m
Filin,1,w
Ergün,1,m
Filippa,1,w
Erhard,1,m
Filiz,1,w
Erich,1,m
Finya,1,w
Erkan,1,m
Firdevs,1,w
Eryk,1,m
Flora,1,w
Esat,1,m
Florence,1,w
Eser,1,m
Florentina,1,w
Etienne,1,m
Florentine,1,w
Eugenio,1,m
Florijana,1,w
Evandro,1,m
Franca,1,w
Everaldo,1,m
Francis,1,w
Evo,1,m
Franzeska,1,w
Eytan,1,m
Franziska,1,w
Eşref,1,m
Frederike,1,w
Fabian-Alexander,1,m
Freja,1,w
Fabijan,1,m
Friderike,1,w
Fabrice,1,m
Funda,1,w
Fahir,1,m
Gagiki,1,w
Falk,1,m
Galina,1,w
Fares,1,m
Galinova,1,w
Farian,1,m
Genesis,1,w
Farid,1,m
Gereltuya,1,w
Fatlum,1,m
Germani,1,w
Federico,1,m
Gina-Elayne,1,w
Federigo,1,m
Ginger,1,w
Felin,1,m
Gitta,1,w
Felix-Elias,1,m
Grace,1,w
Ferat,1,m
Gretchen,1,w
Ferenc,1,m
Grey,1,w
Ferencz,1,m
Gueati,1,w
Fidelis,1,m
Gwendolin,1,w
Fietje,1,m
Gülsüm,1,w
Finlay,1,m
Gülten,1,w
Finley-Mael,1,m
Hadidza,1,w
Finn-Luca,1,m
Hadischa,1,w
Finnlay,1,m
Hadiya,1,w
Finnley,1,m
Hae-Jin,1,w
Fionel,1,m
Hailey,1,w
Fionn,1,m
Haily,1,w
Fode,1,m
Halima,1,w
Fons,1,m
Halime,1,w
Fotios,1,m
Halka,1,w
Francesco,1,m
Hamda,1,w
Franck,1,m
Hannelore,1,w
Franziskus,1,m
Haticenur,1,w
Fred,1,m
Havin,1,w
Frederic,1,m
Havva,1,w
Frido,1,m
Hayly,1,w
Friedemann,1,m
Hedda,1,w
Friso,1,m
Hedwig,1,w
Fritiof,1,m
Heide,1,w
Fritjof,1,m
Heidi,1,w
Froben,1,m
Helen,1,w
Gael,1,m
Helga,1,w
Gazi,1,m
Helia,1,w
George,1,m
Helin,1,w
Gerald,1,m
Helma,1,w
